_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base	soc_vector	pam_cluster	is_medoid
staal.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.1283227731266498	-0.13629409116130392	1	5000	5000	311	staal	NA	NA	nobound	915	all	10_10	selection	nav	4_4	0.16018241245140583	BOW	nav_5000	c1	0
staal.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.3496861667319061	-0.38639209911570943	1	5000	5000	311	staal	NA	NA	nobound	915	all	10_10	selection	all	4_4	0.16856577221072025	BOW	all_5000	c5	0
staal.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.16041881896360813	-0.07154550537446078	1	FOC	553	311	staal	NA	NA	nobound	915	all	10_10	selection	nav	4_4	0.12366207908876777	BOW	nav_FOC	c1	0
staal.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.13217485357572537	-0.08413306383199409	1	FOC	915	311	staal	NA	NA	nobound	915	all	10_10	selection	all	4_4	0.13180521002138024	BOW	all_FOC	c1	0
staal.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.20467587770427564	-0.15505516600963556	1	5000	5000	311	staal	NA	NA	nobound	1812	all	10_10	no	nav	4_4	0.15330355004811888	BOW	nav_5000	c3	0
staal.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	0.3277851273261117	-0.467124339456023	1	5000	5000	311	staal	NA	NA	nobound	1812	all	10_10	no	all	4_4	0.15079366099071098	BOW	all_5000	c5	0
staal.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.18813709789440397	-0.0950885937440177	1	FOC	1041	311	staal	NA	NA	nobound	1812	all	10_10	no	nav	4_4	0.13002517083430698	BOW	nav_FOC	c1	0
staal.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.16240844141084787	-0.12749704153333608	1	FOC	1812	311	staal	NA	NA	nobound	1812	all	10_10	no	all	4_4	0.14564614956462987	BOW	all_FOC	c1	0
staal.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.16727552394637643	0.010176959125691047	1	5000	5000	308	staal	NA	NA	nobound	514	lex	5_5	weight	nav	4_4	0.11568458587001788	BOW	nav_5000	c6	0
staal.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	0.035926314071644816	-0.27330525392648275	1	5000	5000	308	staal	NA	NA	nobound	514	lex	5_5	weight	all	4_4	0.18858771032006802	BOW	all_5000	c2	0
staal.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.19435546311031807	0.029084944430627535	1	FOC	392	308	staal	NA	NA	nobound	514	lex	5_5	weight	nav	4_4	0.13280894979343374	BOW	nav_FOC	c6	0
staal.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.19411690443623741	0.023829918826127703	1	FOC	514	308	staal	NA	NA	nobound	514	lex	5_5	weight	all	4_4	0.12856382216823356	BOW	all_FOC	c6	0
staal.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.15139335650348218	-0.04004329627686345	1	5000	5000	308	staal	NA	NA	nobound	514	lex	5_5	selection	nav	4_4	0.14767768974587248	BOW	nav_5000	c3	0
staal.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.06425735977479394	-0.35935771606930145	1	5000	5000	308	staal	NA	NA	nobound	514	lex	5_5	selection	all	4_4	0.2016331194347661	BOW	all_5000	c2	0
staal.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.17340276582456773	-0.0044209611602213416	1	FOC	392	308	staal	NA	NA	nobound	514	lex	5_5	selection	nav	4_4	0.13831849666461793	BOW	nav_FOC	c6	0
staal.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.17281390015097428	-0.0067862712233047575	1	FOC	514	308	staal	NA	NA	nobound	514	lex	5_5	selection	all	4_4	0.13331852458325466	BOW	all_FOC	c6	0
staal.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.1614533748202099	-0.06195875764753114	1	5000	5000	311	staal	NA	NA	nobound	732	lex	5_5	no	nav	4_4	0.13989321422309378	BOW	nav_5000	c3	0
staal.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	0.12942675184882976	-0.39931129733907567	1	5000	5000	311	staal	NA	NA	nobound	732	lex	5_5	no	all	4_4	0.18338645650034938	BOW	all_5000	c2	0
staal.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.17263239261004149	-0.015905315551118956	1	FOC	562	311	staal	NA	NA	nobound	732	lex	5_5	no	nav	4_4	0.12918808123231196	BOW	nav_FOC	c3	0
staal.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.1725211373602979	-0.0184797061537407	1	FOC	732	311	staal	NA	NA	nobound	732	lex	5_5	no	all	4_4	0.12852474316880988	BOW	all_FOC	c3	0
staal.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.11498843596122213	0.041803364097149895	1	5000	5000	311	staal	NA	NA	nobound	658	all	5_5	weight	nav	4_4	0.09839987941385944	BOW	nav_5000	c3	0
