_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
hoop.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-1.7762956222228556	0.45234875128792523	1	FOC	725	308	hoop	NA	NA	nobound	725	lex	5_5	no	all	4_4	0.24437312235066813	BOW
hoop.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.4434370677312295	-0.2590175472677826	1	5000	5000	312	hoop	NA	NA	nobound	498	all	5_5	weight	nav	4_4	0.20176412716694206	BOW
hoop.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	0.7719649147847405	-0.5968158012446692	1	5000	5000	312	hoop	NA	NA	nobound	498	all	5_5	weight	all	4_4	0.2073122886660212	BOW
hoop.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.03446945828011137	0.17790868278953997	1	FOC	276	312	hoop	NA	NA	nobound	498	all	5_5	weight	nav	4_4	0.2379916210860887	BOW
hoop.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.04288783070379723	0.11889868996743778	1	FOC	498	312	hoop	NA	NA	nobound	498	all	5_5	weight	all	4_4	0.22021631083524623	BOW
hoop.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.6579206815816672	-0.6228861492947949	1	5000	5000	312	hoop	NA	NA	nobound	498	all	5_5	selection	nav	4_4	0.20479597959281015	BOW
hoop.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	1.0201443378920014	-0.9276109265827572	1	5000	5000	312	hoop	NA	NA	nobound	498	all	5_5	selection	all	4_4	0.19553176798077332	BOW
hoop.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.13530101239745349	-0.3107654301738188	1	FOC	276	312	hoop	NA	NA	nobound	498	all	5_5	selection	nav	4_4	0.21871306426588838	BOW
hoop.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.09557468917311317	-0.2985818764779245	1	FOC	498	312	hoop	NA	NA	nobound	498	all	5_5	selection	all	4_4	0.20693274504999984	BOW
hoop.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.57079163358904506	-1.0484442613349416	1	5000	5000	312	hoop	NA	NA	nobound	993	all	5_5	no	nav	4_4	0.21538259803605492	BOW
hoop.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	1.2218982273010859	-1.6554286633372253	1	5000	5000	312	hoop	NA	NA	nobound	993	all	5_5	no	all	4_4	0.221953456949695	BOW
hoop.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.10612151575513339	-0.8205740065095538	1	FOC	561	312	hoop	NA	NA	nobound	993	all	5_5	no	nav	4_4	0.21610174548295724	BOW
