_model	model.x	model.y	minimum_contextwords	foc_part_of_speech	foc_sent_bound	soc_corpus	soc_length	soc_length_num	soc_window	foc_token_window	tokens	type	foc_weighting	stress
church_nocomp.10_10.nvjid.noweight.nobound.COHA.5_5.5000.2	-0.04214609149083652	-0.023535610100327113	2	nvjid	False	COHA	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.21528556697571968
church_nocomp.10_10.nvjid.noweight.nobound.COHA.5_5.10000.2	-0.04606280247636971	-0.0020437883673466097	2	nvjid	False	COHA	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.22468633973386762
church_nocomp.10_10.nvjid.noweight.nobound.COHA.5_5.focc.2	-0.07093014693297191	-0.10768384688019314	2	nvjid	False	COHA	focc	24583	5_5	10_10	249	church_nocomp	noweight	0.23675015259390614
church_nocomp.10_10.nvjid.noweight.nobound.COHA.10_10.5000.2	-0.019115345601349462	-0.04924510076879095	2	nvjid	False	COHA	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.20073869308871534
church_nocomp.10_10.nvjid.noweight.nobound.COHA.10_10.10000.2	2.299256861371562e-4	-0.03915783205125032	2	nvjid	False	COHA	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.2095842563934838
church_nocomp.10_10.nvjid.noweight.nobound.COHA.10_10.focc.2	-0.029264025193712705	-0.07900133365359481	2	nvjid	False	COHA	focc	24583	10_10	10_10	249	church_nocomp	noweight	0.22799750875145075
church_nocomp.10_10.nvjid.noweight.nobound.COHA.5_5.5000.3	-0.05602173471547391	-0.04130007463813108	3	nvjid	False	COHA	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.21596864565316365
church_nocomp.10_10.nvjid.noweight.nobound.COHA.5_5.10000.3	-0.0660589844919014	-0.014443160945804546	3	nvjid	False	COHA	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.22582357643023385
church_nocomp.10_10.nvjid.noweight.nobound.COHA.5_5.focc.3	-0.06964945571145219	-0.0706734303043001	3	nvjid	False	COHA	focc	24583	5_5	10_10	249	church_nocomp	noweight	0.2368409386587942
church_nocomp.10_10.nvjid.noweight.nobound.COHA.10_10.5000.3	-0.018674125351984885	-0.05251793819254605	3	nvjid	False	COHA	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.19978503109238688
church_nocomp.10_10.nvjid.noweight.nobound.COHA.10_10.10000.3	-0.011678337440480632	-0.08261441990213363	3	nvjid	False	COHA	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.2081987192910664
church_nocomp.10_10.nvjid.noweight.nobound.COHA.10_10.focc.3	-0.024783831657450742	-0.13924710478998434	3	nvjid	False	COHA	focc	24583	10_10	10_10	249	church_nocomp	noweight	0.22853439632132502
church_nocomp.10_10.none.ppmi.nobound.COHA.5_5.5000.2	0.19289527867528555	-0.15734294619936195	2	none	False	COHA	5000	5000	5_5	10_10	248	church_nocomp	ppmi	0.23766561742416892
church_nocomp.10_10.none.ppmi.nobound.COHA.5_5.10000.2	0.20893461946652017	-0.16437282244869242	2	none	False	COHA	10000	10000	5_5	10_10	248	church_nocomp	ppmi	0.23936084652281994
church_nocomp.10_10.none.ppmi.nobound.COHA.5_5.focc.2	0.199113216754968	-0.17504128882713046	2	none	False	COHA	focc	4699	5_5	10_10	248	church_nocomp	ppmi	0.24237266849863515
church_nocomp.10_10.none.ppmi.nobound.COHA.10_10.5000.2	0.21806391215863075	-0.1886535734511587	2	none	False	COHA	5000	5000	10_10	10_10	248	church_nocomp	ppmi	0.223820762433317
church_nocomp.10_10.none.ppmi.nobound.COHA.10_10.10000.2	0.24496195350013067	-0.18322763209921708	2	none	False	COHA	10000	10000	10_10	10_10	248	church_nocomp	ppmi	0.2296404985511063
church_nocomp.10_10.none.ppmi.nobound.COHA.10_10.focc.2	0.22231616648231828	-0.1872120284475634	2	none	False	COHA	focc	4699	10_10	10_10	248	church_nocomp	ppmi	0.23759726260225164
church_nocomp.10_10.none.ppmi.nobound.COHA.5_5.5000.3	0.23446466032945887	-0.15136053248738027	3	none	False	COHA	5000	5000	5_5	10_10	247	church_nocomp	ppmi	0.2375564842415113
church_nocomp.10_10.none.ppmi.nobound.COHA.5_5.10000.3	0.22796554802169336	-0.16284207509079596	3	none	False	COHA	10000	10000	5_5	10_10	247	church_nocomp	ppmi	0.2395357988133517
